,cluster,gene,score
0,0,ENSG00000251562,50.49158477783203
1,0,ENSG00000168685,45.048519134521484
2,0,ENSG00000227507,43.772071838378906
3,0,ENSG00000126353,41.42253875732422
4,0,ENSG00000122026,39.655189514160156
5,0,ENSG00000109475,37.924747467041016
6,0,ENSG00000113558,34.69031524658203
7,0,ENSG00000071082,34.663543701171875
8,0,ENSG00000112306,34.5287971496582
9,0,ENSG00000213741,33.59266662597656
10,1,ENSG00000271503,46.725502014160156
11,1,ENSG00000100450,46.6594352722168
12,1,ENSG00000105374,46.18265151977539
13,1,ENSG00000185885,45.890350341796875
14,1,ENSG00000008517,40.85310745239258
15,1,ENSG00000077984,40.645225524902344
16,1,ENSG00000100453,38.20982360839844
17,1,ENSG00000145649,37.94609451293945
18,1,ENSG00000172543,36.51470947265625
19,1,ENSG00000115523,34.85129165649414
20,2,ENSG00000115523,50.64316940307617
21,2,ENSG00000100453,48.898284912109375
22,2,ENSG00000105374,48.20149230957031
23,2,ENSG00000180644,46.43310546875
24,2,ENSG00000172543,43.348018646240234
25,2,ENSG00000159674,42.77472686767578
26,2,ENSG00000134539,42.48433303833008
27,2,ENSG00000185201,41.413536071777344
28,2,ENSG00000111796,41.38264083862305
29,2,ENSG00000077984,41.07852554321289
30,3,ENSG00000019582,49.87649917602539
31,3,ENSG00000204287,48.38873291015625
32,3,ENSG00000105369,45.58391571044922
33,3,ENSG00000156738,45.51902389526367
34,3,ENSG00000196126,45.059757232666016
35,3,ENSG00000179344,43.65209197998047
36,3,ENSG00000007312,41.984840393066406
37,3,ENSG00000211899,40.64440155029297
38,3,ENSG00000231389,39.714256286621094
39,3,ENSG00000104894,37.82804870605469
40,4,ENSG00000100906,51.796478271484375
41,4,ENSG00000163220,51.550819396972656
42,4,ENSG00000143546,51.5246467590332
43,4,ENSG00000277632,51.1761589050293
44,4,ENSG00000169429,50.23786926269531
45,4,ENSG00000144802,49.622039794921875
46,4,ENSG00000118503,49.39077377319336
47,4,ENSG00000090382,49.36030578613281
48,4,ENSG00000087086,48.85669708251953
49,4,ENSG00000197956,48.6768684387207
50,5,ENSG00000271503,34.925174713134766
51,5,ENSG00000100450,32.9660530090332
52,5,ENSG00000145649,31.45635223388672
53,5,ENSG00000105374,31.302093505859375
54,5,ENSG00000126264,29.30799102783203
55,5,ENSG00000134539,29.035694122314453
56,5,ENSG00000077984,28.642295837402344
57,5,ENSG00000172543,28.554153442382812
58,5,ENSG00000008517,27.266727447509766
59,5,ENSG00000211677,24.835830688476562
60,6,ENSG00000227507,37.24848937988281
61,6,ENSG00000168685,33.31272888183594
62,6,ENSG00000213741,26.815635681152344
63,6,ENSG00000277734,26.145631790161133
64,6,ENSG00000231500,24.962587356567383
65,6,ENSG00000112306,24.737110137939453
66,6,ENSG00000147403,24.39618682861328
67,6,ENSG00000167526,24.115583419799805
68,6,ENSG00000008517,23.97397232055664
69,6,ENSG00000164587,23.75563621520996
70,7,ENSG00000170345,42.521148681640625
71,7,ENSG00000204482,42.33565902709961
72,7,ENSG00000090382,42.211299896240234
73,7,ENSG00000163131,41.862937927246094
74,7,ENSG00000087086,41.05976104736328
75,7,ENSG00000085265,40.6817741394043
76,7,ENSG00000011600,40.64329528808594
77,7,ENSG00000101439,40.15177917480469
78,7,ENSG00000197746,39.291683197021484
79,7,ENSG00000163563,38.7096061706543
80,8,ENSG00000271503,34.3710823059082
81,8,ENSG00000008517,32.22779846191406
82,8,ENSG00000105374,31.691726684570312
83,8,ENSG00000145649,30.809852600097656
84,8,ENSG00000100450,28.960010528564453
85,8,ENSG00000206503,28.172626495361328
86,8,ENSG00000077984,26.97124671936035
87,8,ENSG00000166710,26.838634490966797
88,8,ENSG00000126264,26.833057403564453
89,8,ENSG00000134539,26.542186737060547
90,9,ENSG00000168685,29.511802673339844
91,9,ENSG00000177954,26.867021560668945
92,9,ENSG00000265972,26.562868118286133
93,9,ENSG00000118181,26.557125091552734
94,9,ENSG00000167526,25.9487361907959
95,9,ENSG00000112306,25.8131160736084
96,9,ENSG00000137154,25.7595157623291
97,9,ENSG00000122026,25.60622215270996
98,9,ENSG00000144713,25.237957000732422
99,9,ENSG00000213741,24.04637908935547
100,10,ENSG00000132465,33.072696685791016
101,10,ENSG00000170476,31.493410110473633
102,10,ENSG00000166598,28.031522750854492
103,10,ENSG00000113387,22.337406158447266
104,10,ENSG00000166562,21.79949188232422
105,10,ENSG00000074842,21.3918514251709
106,10,ENSG00000114850,20.881345748901367
107,10,ENSG00000135916,20.00666618347168
108,10,ENSG00000166794,19.80268669128418
109,10,ENSG00000128228,19.440690994262695
110,11,ENSG00000168685,6.623392105102539
111,11,ENSG00000227507,5.730058670043945
112,11,ENSG00000244734,5.602649211883545
113,11,ENSG00000127152,4.460921764373779
114,11,ENSG00000182463,3.547948122024536
115,11,ENSG00000117602,3.1342244148254395
116,11,ENSG00000188536,2.310868978500366
117,11,ENSG00000182568,2.1563992500305176
118,11,ENSG00000065357,2.0008838176727295
119,11,ENSG00000167106,1.9137839078903198
120,12,ENSG00000108518,31.114423751831055
121,12,ENSG00000075624,30.842445373535156
122,12,ENSG00000184009,30.503957748413086
123,12,ENSG00000008517,30.419111251831055
124,12,ENSG00000172757,30.338014602661133
125,12,ENSG00000205542,30.323150634765625
126,12,ENSG00000034510,29.37299346923828
127,12,ENSG00000169442,29.315202713012695
128,12,ENSG00000102879,29.242538452148438
129,12,ENSG00000111640,29.154603958129883
130,13,ENSG00000170476,32.29235076904297
131,13,ENSG00000132465,32.07222366333008
132,13,ENSG00000166598,31.5498104095459
133,13,ENSG00000166794,30.652019500732422
134,13,ENSG00000239264,30.441654205322266
135,13,ENSG00000074842,30.373952865600586
136,13,ENSG00000100219,30.23275375366211
137,13,ENSG00000155660,30.145000457763672
138,13,ENSG00000135916,29.865530014038086
139,13,ENSG00000180879,29.748029708862305
140,14,ENSG00000115523,11.021092414855957
141,14,ENSG00000105374,9.99875259399414
142,14,ENSG00000271503,9.121543884277344
143,14,ENSG00000100450,8.152983665466309
144,14,ENSG00000180644,5.130065441131592
145,14,ENSG00000134539,5.097240924835205
146,14,ENSG00000100453,4.469296455383301
147,14,ENSG00000145649,4.305832862854004
148,14,ENSG00000077984,3.7837138175964355
149,14,ENSG00000159674,3.399181365966797
150,15,ENSG00000100906,22.745147705078125
151,15,ENSG00000277632,22.544483184814453
152,15,ENSG00000163220,22.541906356811523
153,15,ENSG00000143546,22.16831398010254
154,15,ENSG00000090382,20.30274200439453
155,15,ENSG00000123689,18.11773109436035
156,15,ENSG00000163221,17.0821590423584
