celltype_suggested,count,proportion
Decidual cells,3560,0.24081715484001895
T cells naive,2758,0.18656564973280118
Gamma delta T cells,1553,0.10505310153554759
Nuocytes,1408,0.09524453764459176
Alveolar macrophages,1289,0.08719475072718663
Parietal cells,1077,0.07285395386592708
Trophoblast progenitor cells,811,0.05486031252113915
Monocytes,748,0.050598660623689375
Pancreatic progenitor cells,662,0.04478116755732937
Delta cells,425,0.028749238990732597
Loop of Henle cells,267,0.01806128661300142
Luteal cells,212,0.014340796861259554
Pluripotent stem cells,13,0.0008793884867753501
